,Anno,Età,Obiettivo Prelievo (Nom.),Prelievo Effettivo (Nom.),Prelievo Effettivo (Reale),Fonte: Conto Corrente,Fonte: Vendita ETF,Vendita ETF (Rebalance),Pensione Pubblica (Nom.),Rendita FP (Nom.),Liquidazione FP (Nom.),Patrimonio Banca (Nom.),Patrimonio ETF (Nom.),Patrimonio FP (Nom.),Patrimonio Banca (Reale),Patrimonio ETF (Reale),Patrimonio FP (Reale),Variazione Netta Patrimonio %,Rendimento Portafoglio %
11,12,39,0,0,0,0,0,3410.192813262751,0,0,0,186680.38539399885,20761.16108676329,12514.169768684576,135293.62128592876,15046.31919202696,9069.444236569789,0.08863162580651457,-0.09182473710919628
12,13,40,0,0,0,0,0,5037.771833230079,0,0,0,203339.0470943424,22631.57302524766,16132.606246613681,144439.10769841485,16076.027995064009,11459.575936881567,0.08932190273921951,-0.076662191935254
13,14,41,0,0,0,0,0,8821.083980025738,0,0,0,223211.06679411023,24902.90345270757,19639.937722447434,155616.19051914162,17361.571824531893,13692.386915652254,0.09799216427121749,-0.054383300296179805
14,15,42,0,0,0,0,0,9249.47487159312,0,0,0,243248.0895518988,27158.5046295226,20207.140451329622,165773.22528484574,18508.48207952239,13771.137329677073,0.08984832217398891,-0.05034654098817317
15,16,43,0,0,0,0,0,0,0,0,0,252114.63397490053,28012.737108322282,19688.912169383682,164448.62645294383,18272.069605882647,12842.628416921409,0.03594874204613345,-0.09481731036626327
16,17,44,0,0,0,0,0,67.00630952976644,0,0,0,264144.5208434375,29349.737809381146,19908.333778364482,169756.87182558535,18862.09739847206,12794.421987946202,0.047717177789187645,-0.07590712958420098
17,18,45,0,0,0,0,0,2668.571186149882,0,0,0,278656.39722653653,30975.454669954157,19794.633491231434,173516.88738165985,19288.14315069421,12325.944153605635,0.05498435750581932,-0.06338040954015375
18,19,46,0,0,0,0,0,2912.0155185174626,0,0,0,293397.4002473648,32614.934749450444,20283.98663124307,179264.31073462762,19927.55829665059,12393.41207295803,0.05290309443293496,-0.059816711629052
19,20,47,0,0,0,0,0,3538.020570634544,0,0,0,308718.0383407384,34322.38009088882,22740.06370005483,183790.88417260256,20433.339812979,13537.972824773764,0.05223140846795969,-0.05499224892738878
20,21,48,0,0,0,0,0,7000.6392903485685,0,0,0,327167.68731973297,36409.40862567633,25757.842788408303,192892.57988233594,21466.376521876304,15186.39199476967,0.05986664081065234,-0.04188460066600394
21,22,49,0,0,0,0,0,3355.2601432498413,0,0,0,342241.5870965194,38054.32749588698,25426.692379473523,193179.881281121,21479.94500100046,14352.21668094068,0.045984246074476064,-0.05116753177057961
22,23,50,0,0,0,0,0,0,0,0,0,351114.4812919039,39012.72014354488,28918.485150375272,197659.9582377522,21962.217581972473,16279.666239029702,0.025851676196888235,-0.06628156886136687
23,24,51,0,0,0,0,0,6693.304340513438,0,0,0,369401.46456655196,41085.97618137971,28130.24479615872,206752.30169206808,22995.632009020734,15744.36870625703,0.05218872008301048,-0.03740853235940581
24,25,52,0,0,0,0,0,0,0,0,0,379693.6962368298,42188.188470758876,27262.812822876807,207327.18184321272,23036.35353813475,14886.531453396785,0.027758325416474897,-0.05824252898096151
25,26,53,0,0,0,0,0,3631.5244096241076,0,0,0,395164.47742487455,43921.24673849488,29623.336230092973,210332.7023347128,23377.795941118184,15767.501173305234,0.04077880582074514,-0.04244188717853297
26,27,54,0,0,0,0,0,18332.935695195018,0,0,0,423721.096577727,47273.71256889662,33745.604177821675,220160.55146703488,24562.870985474237,17533.823275222843,0.07267165208810528,-0.00541398555936257
27,28,55,0,0,0,0,0,129.29129410578025,0,0,0,435806.0306925883,48424.043096870315,34948.00307213937,215428.56520938387,23937.076110253918,17275.571305884103,0.028100659255280228,-0.04991816073803488
28,29,56,0,0,0,0,0,0,0,0,0,445322.32680071803,49480.258533413114,34355.11608420368,214057.21041905764,23784.134491006404,16513.792078290382,0.021833653291987453,-0.05064874125228908
29,30,57,0,0,0,0,0,0,0,0,0,453945.6518767583,50438.40576408426,37341.993874852706,217266.8558634184,24140.761762602044,17872.574761577234,0.019364232505457164,-0.051517929996540125
30,31,58,0,0,0,0,0,6390.659251225006,0,0,0,472054.7220207541,52478.03456977592,35764.38416337497,220171.16651396034,24476.293846033208,16680.875783205236,0.03994713679875026,-0.02987019170062709
31,32,59,0,0,0,0,0,0,0,0,0,481674.08606823353,53519.34289647039,35772.11835153193,216812.10396944216,24090.23377438246,16101.817530912067,0.020324130838783826,-0.047140462870228966
32,33,60,0,0,0,0,0,19942.560337363713,0,0,0,512047.3170108435,57064.73848951081,33740.89795201335,229368.0940115952,25561.75936828907,15114.004499957473,0.06337638823642448,-0.0009870762033774075
33,34,61,0,0,0,0,0,0,0,0,0,520356.0184903724,57817.335387819156,37934.041309804146,224657.2113975524,24961.91237750582,16377.548514619191,0.015921817663607105,-0.04837196553925129
34,35,62,0,0,0,0,0,11205.52661604253,0,0,0,542690.4048387938,60391.94945626833,38742.79867122537,228041.469715456,25377.02673604465,16279.93543114269,0.0430822351977818,-0.01719945926600952
35,36,63,0,0,0,0,0,4327.080754015049,0,0,0,558648.2359572727,62109.27617697877,42961.469986200405,230560.40996505631,25633.19680667956,17730.681840866695,0.02930803349378316,-0.03027197725347728
36,37,64,0,0,0,0,0,3068.5723162758004,0,0,0,573448.637873324,63742.53425261651,39680.66958315329,229085.3005358704,25464.31650850723,15851.913347694272,0.02647355798432112,-0.030773966503953486
37,38,65,0,0,0,0,0,17781.888074452552,0,0,0,601224.6135266575,67021.83621641963,42483.48074819704,232491.2436900927,25917.086070293117,16428.19846894792,0.04873777129322586,-0.004892975833995603
38,39,66,0,0,0,0,0,0,0,0,0,608230.76328373,67581.19592041445,42838.419704205335,232187.9824266055,25798.66471406728,16353.27714725219,0.011321436071940406,-0.044181330565541306
39,40,67,0,0,0,0,0,99.87907459359849,0,0,0,620289.7098077218,68921.84915092486,42024.960272905555,229590.44743339508,25510.334823066598,15554.875858601465,0.019827408455869788,-0.032564252309534115
40,41,68,0,0,0,0,0,0,0,0,0,630817.7321999063,70090.85913332293,40587.44086691502,228715.71185437086,25412.85687270788,14715.796586519977,0.016971613755660236,-0.03437396005319437
41,42,69,0,0,0,0,0,16143.038166816332,0,0,0,657508.4055907356,73214.08559630251,45360.26070044442,235500.48365040266,26223.166763108165,16246.732730154972,0.04253607420776308,-0.006631907627313675
42,43,70,2883.651649729869,2883.651649729869,1000,2883.651649729869,0,2631.0735105843196,2018.5561548109083,0,0,670015.6508220328,74471.15373404456,47288.73127955191,232369.94589836377,25827.542898345102,16400.33320945582,0.01883658096616059,-0.027288543578482496
43,44,71,34690.061413361975,34690.061413361975,11877.132231116253,34690.061413361975,0,1656.8627571777615,24535.588812739254,2263.4772733110776,23247.71079380956,686840.6581804984,76332.80322730103,0,230702.1987392155,25639.346376373618,0,0.025100051118924164,0.024998263084588315
44,45,72,35819.91452223306,35819.91452223306,11656.844933574015,35819.91452223306,0,15959.400826758007,25817.64835136192,2381.750881939429,0,693175.2159954872,77238.39374648056,0,214351.96356840825,23884.583551723175,0,0.009486897409682872,0.011863713644616162
45,46,73,37971.873229480065,37971.873229480065,11604.50810946379,37971.873229480065,0,0,27486.247496657594,2535.683859560983,0,662699.3509915795,73633.26122128661,0,199664.27013052505,22184.918903391674,0,-0.04423727345693739,-0.04667539484349035
46,47,74,39787.854889412185,39787.854889412185,11855.785382352016,39787.854889412185,0,19521.70176168601,28190.759161619615,2600.6770478066273,0,671508.1108618947,74798.95934147555,0,198395.64702041534,22099.193881602718,0,0.013546130953684543,0.015831135289332422
47,48,75,40642.57635340036,40642.57635340036,11820.173721564168,40642.57635340036,0,15219.167541658157,28883.397779137416,2664.5749139363024,0,675827.8482955102,75288.74163813631,0,195051.54355328466,21729.180449932788,0,0.00644442471778501,0.006547982765706508
48,49,76,41747.1666669408,41747.1666669408,11936.304557496544,41747.1666669408,0,0,29379.40578729606,2710.33305173426,0,653947.241119309,72660.80456881212,0,185641.03230781978,20626.781367535536,0,-0.032629480661172,-0.03490478140749074
49,50,77,42439.284418896896,42439.284418896896,11988.961617073934,42439.284418896896,0,0,29735.133253969634,2743.149913903475,0,639860.0440895364,71095.56045439295,0,178255.06181787307,19806.11797976368,0,-0.021541794420082992,-0.02154179442008287
